YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2022,"Rollins, Ryan",SG,74,179.2,23.01,0.0500,81.75,100.5,8.00,8.50,30.5,36.5,11.26,3.28,3.07,NA,1.105,68.0,131.0,137.0
2022,"Seabron, Dereon",SG,76.75,182.4,21.77,0.0400,80.75,103.5,8.50,9.50,30.5,38.0,11.03,3.04,3.12,NA,1.052,80.8,134.0,141.5
2022,"Sharpe, Shaedon",SG,76.25,198.0,23.94,0.0480,83.50,103.5,9.00,9.30,NA,NA,NA,NA,NA,NA,1.095,83.3,NA,NA
2022,"Spagnolo, Matteo",PG,76,196.2,23.88,0.0860,80.00,102.0,8.25,10.00,25.5,31.5,11.42,3.16,3.40,NA,1.053,82.5,127.5,133.5
2022,"Terry, Dalen",SG,78,195.2,22.56,0.0540,84.75,106.0,8.50,9.00,NA,NA,NA,NA,NA,NA,1.087,76.5,NA,NA
2022,"Walker, Jabari",PF,78.75,213.8,24.24,0.1210,82.75,105.0,8.75,9.80,29.5,32.5,11.53,3.12,3.24,NA,1.051,85.3,134.5,137.5
2022,"Washington Jr., TyTy",SG,74.25,196.4,25.04,0.1200,80.00,99.5,8.50,9.30,NA,NA,NA,NA,NA,NA,1.077,78.6,NA,NA
2022,"Watson, Peyton",SF,78.75,203.4,23.06,0.0520,84.50,107.5,8.50,9.50,28.0,33.5,11.03,3.24,3.28,NA,1.073,80.8,135.5,141.0
2022,"Wesley, Blake",SG,75,187.2,23.40,0.0560,81.25,103.0,8.25,9.00,30.0,36.0,11.55,3.25,3.21,NA,1.083,74.3,133.0,139.0
2022,"Williams, Alondes",SG,75.75,209.0,25.61,0.0720,79.00,102.0,8.50,9.30,30.0,35.5,10.96,3.11,3.15,NA,1.043,78.6,132.0,137.5
2022,"Williams, Jalen",SG,76.5,209.2,25.13,0.0890,86.25,105.5,8.50,9.50,33.5,39.0,11.13,3.17,3.11,NA,1.127,80.8,139.0,144.5
